date,text,user
2014-10-11T02:15:14.000Z,DJ Paul to NFL: you better not charge Katy Perry to perform at Super Bowl! http://tmz.me/ANV5T5Y,/TMZ
2014-09-19T18:58:15.000Z,#BREAKING: #NFL press conference on recent abuse allegations is about to start. Watch CNN: http://cnn.it/Xwg1jN,/CNN
2014-10-25T00:45:04.000Z,"Ex-NFL star, Thomas Jones: partiers CAN'T be winners in the NFL http://tmz.me/IdGCh1V",/TMZ
2014-09-14T19:37:23.000Z,NFL owners prepared to oust Goodell pending investigation into Ray Rice case http://wapo.st/1wsZkVy,/washingtonpost
2014-10-09T19:06:04.000Z,Adrian Peterson -- ALLEGEDLY ADMITS WEED USE ... Prosecutors Seek to Arrest NFL Star http://dlvr.it/78gQ37,/TMZ
2014-09-12T21:15:05.000Z,Which NFL team employs the least amount of terrible people? http://rol.st/1AHrj1E,/RollingStone
2014-10-15T01:45:11.000Z,You won't BELIEVE how much it costs to rent MLB star Barry Zito's giant SF mansion http://tmz.me/qAqioB6,/TMZ
2014-09-12T04:27:28.000Z,"CBS, NFL Network drop Rihanna song from Thursday's pregame show. http://cnn.it/1qIGrL1",/CNN
2014-09-12T15:30:19.000Z,"""We did not see the video,"" Roger Goodell insisted. But did @NFL execs know the truth earlier? http://cnn.it/WT9Tl6",/CNN
2014-09-09T19:37:41.000Z,"Be angry at Ray Rice's actions, but don't forget about the NFL's handling of his case, and several like it: http://rol.st/1op7beP",/RollingStone
2014-09-08T20:01:03.000Z,Ray Rice has been cut by the Ravens and suspended by the NFL after a video surfaced of him punching his fiancee: http://rol.st/1q8yZd5,/RollingStone
2014-09-08T18:52:09.000Z,Ray Rice suspended indefinitely by the NFL after new video released http://wapo.st/1q8hTfi,/washingtonpost
2014-10-05T04:02:56.000Z,"BREAKING: San Francisco Giants defeat Washington Nationals in NLDS Game 2, longest game by time in MLB postseason history",/FoxNews
2014-10-19T17:07:53.000Z,"The NFL is covered in pink, but only a sliver of sales goes to breast cancer research http://wapo.st/1prgb3Y",/washingtonpost
